Date : 2024-11-21 22:06:36
Directory : c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace
Total : 149 files,  23891 codes, 107 comments, 845 blanks, all 24843 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| app\SellerDashboard\Components\Product Management                                                                                                             |         17 |      1,158 |         42 |        183 |      1,383 |
| app\SellerDashboard\Components\Product Management (Files)                                                                                                     |         13 |      1,077 |         42 |        168 |      1,287 |
| app\SellerDashboard\Components\Product Management\Loading                                                                                                     |          3 |         69 |          0 |         13 |         82 |
| app\SellerDashboard\Components\Product Management\ServerSide                                                                                                  |          1 |         12 |          0 |          2 |         14 |
| app\SellerDashboard\Edit_Product                                                                                                                              |          3 |        323 |          3 |         49 |        375 |
| app\SellerDashboard\Home                                                                                                                                      |          2 |         29 |          1 |         12 |         42 |
| app\SellerDashboard\Marketing                                                                                                                                 |          1 |         14 |          0 |          2 |         16 |
| app\SellerDashboard\NewProduct                                                                                                                                |          4 |         56 |          0 |          9 |         65 |
| app\SellerDashboard\NewProduct (Files)                                                                                                                        |          1 |         13 |          0 |          2 |         15 |
| app\SellerDashboard\NewProduct\Prototype                                                                                                                      |          3 |         43 |          0 |          7 |         50 |
| app\SellerDashboard\Orders                                                                                                                                    |          1 |         14 |          0 |          2 |         16 |
| app\SellerDashboard\Products                                                                                                                                  |          1 |         13 |          0 |          2 |         15 |
| app\SellerDashboard\Responsive                                                                                                                                |          1 |         49 |          0 |         13 |         62 |
| app\SellerDashboard\Settings                                                                                                                                  |          1 |         14 |          0 |          2 |         16 |
| app\SellerDashboard\UseAuth                                                                                                                                   |          1 |         35 |          0 |          5 |         40 |
| app\SellerDashboard\axios                                                                                                                                     |          1 |         79 |          9 |         11 |         99 |
| app\SellerDashboard\hooks                                                                                                                                     |          4 |        249 |          7 |         29 |        285 |
| app\SellerDashboard\types                                                                                                                                     |          1 |         25 |          0 |          0 |         25 |
| app\buyer-dashboard                                                                                                                                           |         31 |        944 |          8 |        150 |      1,102 |
| app\buyer-dashboard (Files)                                                                                                                                   |          1 |         72 |          0 |          9 |         81 |
| app\buyer-dashboard\AllProducts                                                                                                                               |          2 |        103 |          1 |         11 |        115 |
| app\buyer-dashboard\Authentication                                                                                                                            |          1 |         31 |          0 |          5 |         36 |
| app\buyer-dashboard\Popular                                                                                                                                   |          1 |          9 |          0 |          3 |         12 |
| app\buyer-dashboard\Shop                                                                                                                                      |          1 |          9 |          0 |          3 |         12 |
| app\buyer-dashboard\animations                                                                                                                                |          1 |          0 |          0 |          1 |          1 |
| app\buyer-dashboard\axios                                                                                                                                     |          1 |         28 |          0 |          5 |         33 |
| app\buyer-dashboard\components                                                                                                                                |         16 |        426 |          4 |         72 |        502 |
| app\buyer-dashboard\components (Files)                                                                                                                        |          1 |          0 |          3 |          1 |          4 |
| app\buyer-dashboard\components\Container                                                                                                                      |          3 |        118 |          1 |         14 |        133 |
| app\buyer-dashboard\components\common                                                                                                                         |          2 |         13 |          0 |          4 |         17 |
| app\buyer-dashboard\components\layout                                                                                                                         |          4 |         91 |          0 |         15 |        106 |
| app\buyer-dashboard\components\pages                                                                                                                          |          4 |        144 |          0 |         25 |        169 |
| app\buyer-dashboard\components\ui                                                                                                                             |          2 |         60 |          0 |         13 |         73 |
| app\buyer-dashboard\entities                                                                                                                                  |          1 |         30 |          0 |          0 |         30 |
| app\buyer-dashboard\product                                                                                                                                   |          3 |        187 |          3 |         26 |        216 |
| app\buyer-dashboard\product\[id]                                                                                                                              |          3 |        187 |          3 |         26 |        216 |
| app\buyer-dashboard\store                                                                                                                                     |          3 |         49 |          0 |         15 |         64 |
| app\userData                                                                                                                                                  |          2 |         32 |          0 |          6 |         38 |
| public                                                                                                                                                        |          2 |          2 |          0 |          0 |          2 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                      | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\.eslintrc.json                                                                | JSON               |          6 |          0 |          0 |          6 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\components\ui\accordion.tsx                                                 | TypeScript JSX     |         50 |          0 |          9 |         59 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\components\ui\button.tsx                                                    | TypeScript JSX     |         51 |          0 |          6 |         57 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\components\ui\checkbox.tsx                                                  | TypeScript JSX     |         26 |          0 |          5 |         31 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\components\ui\dropdown-menu.tsx                                             | TypeScript JSX     |        182 |          0 |         19 |        201 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\components\ui\file-upload.tsx                                               | TypeScript JSX     |        182 |          0 |         12 |        194 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\components\ui\label.tsx                                                     | TypeScript JSX     |         21 |          0 |          6 |         27 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\components\ui\pagination.tsx                                                | TypeScript JSX     |        107 |          0 |         11 |        118 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\components\ui\radio-group.tsx                                               | TypeScript JSX     |         39 |          0 |          6 |         45 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\components\ui\select.tsx                                                    | TypeScript JSX     |        146 |          0 |         15 |        161 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\components\ui\skeleton.tsx                                                  | TypeScript JSX     |         13 |          0 |          3 |         16 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\@\lib\utils.ts                                                                | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\README.md                                                                     | Markdown           |         23 |          0 |         14 |         37 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\__mocks__\FileMock.ts                                                         | TypeScript         |          2 |          1 |          1 |          4 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\__tests__\page.test.tsx                                                       | TypeScript JSX     |          8 |          3 |          4 |         15 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\__tests__\snapshot.js                                                         | JavaScript         |          6 |          0 |          1 |          7 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\AuthCheck.tsx                                                             | TypeScript JSX     |          6 |          0 |          1 |          7 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\Components\Form.tsx                                                  | TypeScript JSX     |        127 |          0 |         14 |        141 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\Components\LoginImage.tsx                                            | TypeScript JSX     |         20 |          0 |          3 |         23 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\Components\RegistrationForm.tsx                                      | TypeScript JSX     |        149 |          0 |         20 |        169 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\Components\ui\AuthOnline.tsx                                         | TypeScript JSX     |         17 |          0 |          4 |         21 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\Components\ui\AuthStyle.tsx                                          | TypeScript JSX     |         12 |          0 |          3 |         15 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\Components\ui\IconSide.tsx                                           | TypeScript JSX     |         42 |          0 |          8 |         50 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\Components\ui\Input.tsx                                              | TypeScript JSX     |         17 |          0 |          4 |         21 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\Components\ui\LoginWrapper.tsx                                       | TypeScript JSX     |         26 |          0 |          3 |         29 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\Login\Login_Form.tsx                                                 | TypeScript JSX     |         19 |          0 |          2 |         21 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\SignUp\SignUp_Form.tsx                                               | TypeScript JSX     |         17 |          0 |          3 |         20 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\StateHandlers\Form.ts                                                | TypeScript         |         17 |          0 |          2 |         19 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\StateHandlers\RegisterForm.ts                                        | TypeScript         |         44 |          0 |          3 |         47 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Auth\page.tsx                                                             | TypeScript JSX     |         20 |          2 |          4 |         26 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Client\Verification\page.tsx                                              | TypeScript JSX     |         22 |          0 |          8 |         30 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Client\Verification\verified.css                                          | CSS                |         14 |          1 |          2 |         17 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\Components\HomePageUi.tsx                                       | TypeScript JSX     |         54 |          0 |          7 |         61 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\Components\NavBar.tsx                                           | TypeScript JSX     |         95 |         13 |          8 |        116 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\Components\Theme-provider.tsx                                   | TypeScript JSX     |          7 |          0 |          3 |         10 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\Components\ui\Menu.tsx                                          | TypeScript JSX     |         26 |          0 |          6 |         32 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\Components\ui\NavMenu.tsx                                       | TypeScript JSX     |         11 |          0 |          5 |         16 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\Components\ui\OptionWrapper.tsx                                 | TypeScript JSX     |         26 |          0 |          3 |         29 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\Components\ui\PageWrapper.tsx                                   | TypeScript JSX     |         26 |          1 |          3 |         30 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\Components\ui\Profile.tsx                                       | TypeScript JSX     |         39 |          0 |          5 |         44 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\Components\ui\Theme.tsx                                         | TypeScript JSX     |         39 |          0 |          7 |         46 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\HeroSection.tsx                                                 | TypeScript JSX     |         36 |          0 |          6 |         42 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\State Handlers\StateHnadler.ts                                  | TypeScript         |         17 |          0 |          4 |         21 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\Home Page\page.tsx                                                        | TypeScript JSX     |         11 |          1 |          2 |         14 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\QueryProvider.tsx                                                         | TypeScript JSX     |         11 |          1 |          4 |         16 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Analytics\page.tsx                                        | TypeScript JSX     |         14 |          0 |          2 |         16 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Common\BoxItem.tsx                             | TypeScript JSX     |         14 |          0 |          2 |         16 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Common\Button.tsx                              | TypeScript JSX     |         11 |          0 |          3 |         14 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Common\Category.tsx                            | TypeScript JSX     |         26 |          0 |          6 |         32 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Common\Input.tsx                               | TypeScript JSX     |         13 |          0 |          3 |         16 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Common\NavBar.tsx                              | TypeScript JSX     |        135 |          1 |         20 |        156 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Common\NavItem.tsx                             | TypeScript JSX     |         23 |          0 |          3 |         26 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Common\index.ts                                | TypeScript         |          1 |          0 |          0 |          1 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Common\textArea.tsx                            | TypeScript JSX     |         17 |          0 |          2 |         19 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Home\AddProduct.tsx                            | TypeScript JSX     |         17 |          0 |          3 |         20 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Home\HomePage.tsx                              | TypeScript JSX     |         68 |          0 |         10 |         78 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Details\ProductDetails.tsx             | TypeScript JSX     |         55 |          0 |          6 |         61 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Details\ProductImages.tsx              | TypeScript JSX     |         47 |          0 |          5 |         52 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Details\Ratings.tsx                    | TypeScript JSX     |         36 |          4 |          9 |         49 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Details\Size.tsx                       | TypeScript JSX     |         17 |          0 |          5 |         22 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\Condition.tsx               | TypeScript JSX     |         16 |          0 |          5 |         21 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\CropUtils.tsx               | TypeScript JSX     |         31 |          0 |          6 |         37 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\Draft.tsx                   | TypeScript JSX     |         16 |          0 |          2 |         18 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\InStock.tsx                 | TypeScript JSX     |         16 |          0 |          2 |         18 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\Loading\LoadingSchedule.tsx | TypeScript JSX     |         23 |          0 |          4 |         27 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\Loading\Pinwheel.tsx        | TypeScript JSX     |         23 |          0 |          5 |         28 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\Loading\SquareLoading.tsx   | TypeScript JSX     |         23 |          0 |          4 |         27 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\ManageProducts.tsx          | TypeScript JSX     |        112 |          0 |         20 |        132 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\OutofStock.tsx              | TypeScript JSX     |         15 |          0 |          2 |         17 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\OverallStorage.tsx          | TypeScript JSX     |         15 |          0 |          5 |         20 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\PackageSize.tsx             | TypeScript JSX     |         75 |          0 |          9 |         84 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\Pricing.tsx                 | TypeScript JSX     |         57 |          0 |          6 |         63 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\ProductImages.tsx           | TypeScript JSX     |        219 |         36 |         45 |        300 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\ProductTable.tsx            | TypeScript JSX     |        182 |          2 |         19 |        203 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\Schedule.tsx                | TypeScript JSX     |         23 |          2 |          7 |         32 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\ServerSide\accessToken.ts   | TypeScript         |         12 |          0 |          2 |         14 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Components\Product Management\newProduct.tsx              | TypeScript JSX     |        300 |          2 |         40 |        342 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Edit_Product\Edit_ProductImages.tsx                       | TypeScript JSX     |         48 |          1 |          7 |         56 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Edit_Product\Edit_ProductInformation.tsx                  | TypeScript JSX     |        242 |          2 |         35 |        279 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Edit_Product\page.tsx                                     | TypeScript JSX     |         33 |          0 |          7 |         40 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Home\IconHome.tsx                                         | TypeScript JSX     |         15 |          1 |          3 |         19 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Home\page.tsx                                             | TypeScript JSX     |         14 |          0 |          9 |         23 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Marketing\page.tsx                                        | TypeScript JSX     |         14 |          0 |          2 |         16 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\NewProduct\Prototype\Input.tsx                            | TypeScript JSX     |         16 |          0 |          2 |         18 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\NewProduct\Prototype\TextArea.tsx                         | TypeScript JSX     |         11 |          0 |          3 |         14 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\NewProduct\Prototype\Weight.tsx                           | TypeScript JSX     |         16 |          0 |          2 |         18 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\NewProduct\page.tsx                                       | TypeScript JSX     |         13 |          0 |          2 |         15 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Orders\page.tsx                                           | TypeScript JSX     |         14 |          0 |          2 |         16 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Products\page.tsx                                         | TypeScript JSX     |         13 |          0 |          2 |         15 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Responsive\AddProducts.css                                | CSS                |         49 |          0 |         13 |         62 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\Settings\page.tsx                                         | TypeScript JSX     |         14 |          0 |          2 |         16 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\UseAuth\useAuth.tsx                                       | TypeScript JSX     |         35 |          0 |          5 |         40 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\axios\axios.ts                                            | TypeScript         |         79 |          9 |         11 |         99 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\hooks\DeleteProduct.ts                                    | TypeScript         |         10 |          0 |          2 |         12 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\hooks\EditProduct.ts                                      | TypeScript         |         79 |          2 |          7 |         88 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\hooks\ReusableHooks.ts                                    | TypeScript         |         81 |          0 |         13 |         94 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\hooks\UseHooks.ts                                         | TypeScript         |         79 |          5 |          7 |         91 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\page.tsx                                                  | TypeScript JSX     |         11 |          0 |          1 |         12 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\types\types.ts                                            | TypeScript         |         25 |          0 |          0 |         25 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\AllProducts\Category.tsx                                  | TypeScript JSX     |         29 |          0 |          3 |         32 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\AllProducts\page.tsx                                      | TypeScript JSX     |         74 |          1 |          8 |         83 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\Authentication\CheckAuth.tsx                              | TypeScript JSX     |         31 |          0 |          5 |         36 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\Popular\page.tsx                                          | TypeScript JSX     |          9 |          0 |          3 |         12 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\Shop\page.tsx                                             | TypeScript JSX     |          9 |          0 |          3 |         12 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\animations\Later.tsx                                      | TypeScript JSX     |          0 |          0 |          1 |          1 |
| c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\axios\dataStore.ts                                        | TypeScript         |         28 |          0 |          5 |         33 |
