Date : 2024-11-21 22:06:36
Directory : c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace
Total : 149 files,  23891 codes, 107 comments, 845 blanks, all 24843 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          4 |     18,190 |          0 |          2 |     18,192 |
| TypeScript JSX     |        109 |      4,735 |         78 |        713 |      5,526 |
| TypeScript         |         25 |        649 |         24 |         90 |        763 |
| CSS                |          3 |        141 |          1 |         23 |        165 |
| JavaScript         |          4 |        108 |          3 |          3 |        114 |
| JSON with Comments |          1 |         43 |          1 |          0 |         44 |
| Markdown           |          1 |         23 |          0 |         14 |         37 |
| XML                |          2 |          2 |          0 |          0 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                             |        149 |     23,891 |        107 |        845 |     24,843 |
| . (Files)                                                                                                                                                     |         12 |     18,409 |          6 |         25 |     18,440 |
| @                                                                                                                                                             |         11 |        822 |          0 |         94 |        916 |
| @\components                                                                                                                                                  |         10 |        817 |          0 |         92 |        909 |
| @\components\ui                                                                                                                                               |         10 |        817 |          0 |         92 |        909 |
| @\lib                                                                                                                                                         |          1 |          5 |          0 |          2 |          7 |
| __mocks__                                                                                                                                                     |          1 |          2 |          1 |          1 |          4 |
| __tests__                                                                                                                                                     |          2 |         14 |          3 |          5 |         22 |
| app                                                                                                                                                           |        121 |      4,642 |         97 |        720 |      5,459 |
| app (Files)                                                                                                                                                   |          7 |        153 |          4 |         23 |        180 |
| app\Auth                                                                                                                                                      |         13 |        527 |          2 |         73 |        602 |
| app\Auth (Files)                                                                                                                                              |          1 |         20 |          2 |          4 |         26 |
| app\Auth\Components                                                                                                                                           |          8 |        410 |          0 |         59 |        469 |
| app\Auth\Components (Files)                                                                                                                                   |          3 |        296 |          0 |         37 |        333 |
| app\Auth\Components\ui                                                                                                                                        |          5 |        114 |          0 |         22 |        136 |
| app\Auth\Login                                                                                                                                                |          1 |         19 |          0 |          2 |         21 |
| app\Auth\SignUp                                                                                                                                               |          1 |         17 |          0 |          3 |         20 |
| app\Auth\StateHandlers                                                                                                                                        |          2 |         61 |          0 |          5 |         66 |
| app\Client                                                                                                                                                    |          2 |         36 |          1 |         10 |         47 |
| app\Client\Verification                                                                                                                                       |          2 |         36 |          1 |         10 |         47 |
| app\Home Page                                                                                                                                                 |         12 |        387 |         15 |         59 |        461 |
| app\Home Page (Files)                                                                                                                                         |          2 |         47 |          1 |          8 |         56 |
| app\Home Page\Components                                                                                                                                      |          9 |        323 |         14 |         47 |        384 |
| app\Home Page\Components (Files)                                                                                                                              |          3 |        156 |         13 |         18 |        187 |
| app\Home Page\Components\ui                                                                                                                                   |          6 |        167 |          1 |         29 |        197 |
| app\Home Page\State Handlers                                                                                                                                  |          1 |         17 |          0 |          4 |         21 |
| app\SellerDashboard                                                                                                                                           |         54 |      2,563 |         67 |        399 |      3,029 |
| app\SellerDashboard (Files)                                                                                                                                   |          1 |         11 |          0 |          1 |         12 |
| app\SellerDashboard\Analytics                                                                                                                                 |          1 |         14 |          0 |          2 |         16 |
| app\SellerDashboard\Components                                                                                                                                |         31 |      1,638 |         47 |        260 |      1,945 |
| app\SellerDashboard\Components\Common                                                                                                                         |          8 |        240 |          1 |         39 |        280 |
| app\SellerDashboard\Components\Home                                                                                                                           |          2 |         85 |          0 |         13 |         98 |
| app\SellerDashboard\Components\Product Details                                                                                                                |          4 |        155 |          4 |         25 |        184 |
